"index","przypadki","Arima_lag1","Arima_bc","Arima_auto"
427,1208,673.761823580598,1115.92634670516,1274.70410330878
428,1362,749.264322105525,966.622055993115,1346.8244700234
429,1344,745.583224610488,986.057296973489,1526.3271160957
430,1090,1127.85668174956,1012.9798490997,1437.82531551894
431,684,1286.30567291573,991.974381964879,1249.20510923455
432,1325,1094.27126244931,890.791209037098,888.303349005344
433,2085,827.673027459167,1779.06351512535,1786.88494743096
434,2007,835.685533449262,1962.24167501433,2057.22507495684
435,1895,964.056056541809,1697.09563137609,1983.05737753276
436,2012,1065.84312204402,1431.44583536322,2023.41693844074
437,1527,1561.38479401496,1639.02753559498,2168.28993112221
438,903,1939.8756761254,1379.67414077847,1549.99015032241
439,2118,1519.93571504389,1251.53317377907,1220.7635273502
440,2640,859.036574814198,2654.85904749737,2680.12204712476
441,3000,1187.05496201464,2438.94095349722,2335.68971105077
442,2771,1239.73756378602,2483.30750103987,3231.37616679937
443,3236,1379.39107595502,1966.93100141603,2496.34994597793
444,2523,2052.07362539695,2559.07353772058,3664.5916038667
445,1537,2577.85518231501,2090.52332947229,2102.02455386764
446,3931,2250.21794434713,2069.09069874727,2081.12120678227
447,5559,1232.19945739748,4571.78559324381,4584.07245029265
448,5592,1658.28893367795,4835.33519806776,4942.68368008187
449,5706,2099.69878067942,4336.85191320475,5312.31465781406
450,6274,2385.02269299073,4169.16349691803,5526.37046015043
451,4728,3899.18328443692,4897.42115715137,6258.92140296638
452,2950,4927.63465456977,4361.1763368544,4192.03755655957
453,6265,3953.20896683913,4104.94860608212,3524.10010311992
454,8361,2424.65648626613,8279.8146263875,7329.21273622684
455,8378,3090.36922964073,8069.79733286455,7297.56046532688
456,9387,3283.57231029407,7261.21962595816,8091.11142424393
457,9798,3256.74867689863,6799.11454109381,9095.10964278216
458,7145,5869.62345953676,7271.6718273047,9298.75555513655
459,4894,7512.28842740876,6070.17587892912,6473.24572939557
460,4514,5953.94450888817,6234.64911991707,5650.98639743715
461,10429,4982.6413033913,6963.8331316273,5096.52670612764
462,15515,3741.12986455613,13428.1631429189,11809.0879560263
463,15904,2615.82373570982,12016.8968286081,13603.545482294
464,15190,3815.03423528267,10613.0888104663,14473.8427878811
465,12493,7328.33128006761,8881.19464361894,14133.0443004351
466,7316,11849.5618476663,9631.83386658577,11796.4254318174
467,13644,12360.5445699471,8054.46762790945,7293.23912857111
468,18550,6563.24406959376,19302.4180231715,16638.4359719014
469,19074,5344.35758531471,19551.7627392048,15810.401367568
470,12965,7251.06290000699,20897.7691770603,18553.0372402451
471,14292,9577.41594009626,12190.0381678241,10432.919434192
472,14442,11710.1341969586,16051.8348853568,17341.9392100466
473,9512,12661.0926955997,12631.9016647462,12075.8766296482
474,16590,10080.4397020126,11242.4246819014,10342.0278914697
475,24239,4414.04867918169,15667.2408434226,18645.7696689532
476,24882,7074.63636321404,19555.6024281207,22066.0168480199
477,23242,10948.3707726951,16911.3236000503,22511.7599617849
478,23414,10435.5899659802,18122.3707073585,21793.9465764698
479,18883,14338.3891123171,19886.9311023173,23053.7384889355
480,12334,19435.9695811031,21285.0518617214,17215.4023787149
481,19936,16422.1074596447,18237.1175908758,13279.2670800564
482,28380,9055.83848130254,30617.9180116312,23037.1111914991
483,28128,9432.99271068909,29155.393320222,25896.8941711986
484,26735,11891.783035977,24811.7501552195,25704.3109918579
485,26182,12112.3793217026,18988.8614277748,25531.5761774549
486,20576,17622.2916782126,20093.0411860953,25463.9012269648
487,13115,22235.5490634637,17174.1675101668,19186.7694815291
488,19074,17709.0970493184,16823.5328135503,14161.8565528932
489,29064,10588.4777909767,25765.424793891,22426.9377933891
490,27356,10331.0309539198,32971.740813319,27574.7072513962
491,26965,12296.0367511027,25746.7939487965,23943.5837230039
492,25576,11363.0264424158,23948.1696467194,27201.6861575544
493,22389,17365.5425779887,21077.9821636332,23582.5766567926
494,13250,22275.9992023491,20806.652853505,22623.650721153
495,19366,17956.8923453865,15260.4818908124,12063.7991160405
496,28542,10525.8398860487,25808.0926086248,24609.774061645
497,27458,10797.1272371497,27882.434796674,25522.2312009395
498,24991,13163.562160088,25746.7137791093,25631.1635180179
499,23764,11574.8113921844,20647.3636285831,23667.375995083
500,19452,16593.4311921818,21972.5425148777,23750.3010196097
501,11379,21935.8735678436,18728.0817026308,18435.9977966474
502,17460,17211.3889206442,15726.369404937,12025.7716426436
503,24266,8720.03334743463,23565.5913678914,21378.3614587036
